1,106259,7896004730103,SILDENAFILA 50MG 4CPR EMS,EMS GENERICOS,812,982,1968,1755,1807,1781,1556,1638,1655,1822,1897,1747,-,-,-,-,-,-,-,-,-,-,-,-
2,90255,7896004711539,DICLOFENACO COLESTIRAMINA 70MG 14CPR EMS,EMS GENERICOS,-,-,70,168,170,250,161,160,281,181,317,445,-,-,-,-,-,-,-,-,-,-,-,-
3,91499,7896004713137,LEVOFLOXACINO*AM 500MG 7CPR EMS,EMS GENERICOS,155,132,228,143,102,133,279,282,208,152,273,496,-,-,-,-,-,-,-,-,-,-,-,-
4,101168,7896004749655,TADALAFILA 20MG 1CPR EMS,EMS GENERICOS,365,1064,3075,62,102,182,462,481,302,172,715,753,-,-,-,-,-,-,-,-,-,-,-,-
5,89117,7896004719597,AMOXIC+CLAVUL*AM 875+125MG 14CPR EMS,EMS GENERICOS,481,419,991,426,909,1229,174,432,385,898,671,1927,-,-,-,-,-,-,-,-,-,-,-,-
6,90824,7896004716183,HIDROCLOROTIAZIDA 50MG 20CPR EMS,EMS GENERICOS,15,1,1324,-1,4,-,48,926,470,224,-,1,-,-,-,-,-,-,-,-,-,-,-,-
7,106259,7896004730103,SILDENAFILA 50MG 4CPR EMS,EMS GENERICOS,812,982,1968,1755,1807,1781,1556,1638,1655,1822,1897,1747,-,-,-,-,-,-,-,-,-,-,-,-
8,89346,7896004703305,ANLODIPINO 5MG 30CPR EMS,EMS GENERICOS,3845,773,4450,8863,1044,1673,2340,213,387,-120,192,108,-,-,-,-,-,-,-,-,-,-,-,-
9,89842,7896004726069,DORZOLAMIDA 20MG/ML COL 5ML EMS,EMS GENERICOS,-,-,-,1495,,-,1,-,580,18,140,518,-,-,-,-,-,-,-,-,-,-,-,-
10,90190,7896004709307,DEFLAZACORTE 6MG 20CPR EMS,EMS GENERICOS,179,250,609,419,516,673,554,696,550,542,411,675,-,-,-,-,-,-,-,-,-,-,-,-
11,91006,7896004712499,DOXAZOSINA 2MG 30CPR EMS,EMS GENERICOS,93,156,303,287,580,735,362,627,919,622,618,670,-,-,-,-,-,-,-,-,-,-,-,-
12,91197,7896004706276,AMBROXOL 15MG/5ML XPE INF 120ML EMS,EMS GENERICOS,46,84,1243,117,43,52,45,59,21,48,23,119,-,-,-,-,-,-,-,-,-,-,-,-
13,89052,7896004718804,"ALPRAZOLAM*B1 0,5MG 30CPR EMS",EMS GENERICOS,3053,3692,11316,3229,8999,7022,4920,4873,7397,4580,4452,4996,-,-,-,-,-,-,-,-,-,-,-,-
14,132055,7896004751009,DESVENLAFAXINA *C1 50MG 30CPR EMS,EMS GENERICOS,627,708,1092,588,753,1028,941,724,722,570,438,670,-,-,-,-,-,-,-,-,-,-,-,-
15,89150,7896004706382,AMOXICILINA*AM 875MG 14CPR EMS,EMS GENERICOS,315,450,645,131,100,181,154,271,287,220,171,343,-,-,-,-,-,-,-,-,-,-,-,-
16,90220,7896004712147,DEXAMETASONA 4MG 10CPR EMS,EMS GENERICOS,1272,5553,6586,1798,3970,22942,202,580,3772,3549,2178,-11,-,-,-,-,-,-,-,-,-,-,-,-
17,90166,7896004705583,CLORTALIDONA 50MG 30CPR EMS,EMS GENERICOS,560,493,1125,706,553,936,676,791,877,899,785,1179,-,-,-,-,-,-,-,-,-,-,-,-
18,88889,7896004713366,ACETILCISTEINA 40MG/ML XPE ADT 120ML EMS,EMS GENERICOS,311,416,4048,489,458,1078,913,307,189,122,83,205,-,-,-,-,-,-,-,-,-,-,-,-
19,90450,7896004712413,CLOBETASOL CRM 30G EMS,EMS GENERICOS,34,462,231,394,424,-,259,926,369,409,893,629,-,-,-,-,-,-,-,-,-,-,-,-
20,139130,7896004752525,CETOPROFENO 150MG 10CPR EMS,EMS GENERICOS,449,647,1039,258,454,1184,1041,976,993,1109,667,704,-,-,-,-,-,-,-,-,-,-,-,-
21,118567,7896004705842,ATENOLOL 100MG 30CPR EMS,EMS GENERICOS,170,129,197,148,109,267,90,200,67,206,-39,149,-,-,-,-,-,-,-,-,-,-,-,-
22,89281,7896004729435,ATORVASTATINA 20MG 30CPR EMS,EMS GENERICOS,974,730,1113,-,1882,-3,3,20,1344,2575,-,276,-,-,-,-,-,-,-,-,-,-,-,-
23,118451,7896004703633,LANSOPRAZOL 30MG 28CPR EMS,EMS GENERICOS,-,30,112,15,66,68,8,73,8,29,12,71,-,-,-,-,-,-,-,-,-,-,-,-
24,90344,7896004705323,SECNIDAZOL 900MG PO P/SUSP 30ML RECONST EMS,EMS GENERICOS,106,120,80,42,55,98,-25,109,28,112,29,78,-,-,-,-,-,-,-,-,-,-,-,-
25,91030,7896004704043,NIMESULIDA 50MG/ML GTS 15ML EMS,EMS GENERICOS,141,259,591,107,189,133,85,175,193,328,251,285,-,-,-,-,-,-,-,-,-,-,-,-
26,89222,7896004705873,ATENOLOL 50MG 30CPR EMS,EMS GENERICOS,832,1476,5628,6866,3593,3194,5688,4010,13497,3618,3487,8732,-,-,-,-,-,-,-,-,-,-,-,-
27,117323,7896004756417,PARACE+CODEIN*A2 500+30MG 12CPR EMS,EMS GENERICOS,881,1288,1001,700,1327,2212,1183,1050,977,715,679,1276,-,-,-,-,-,-,-,-,-,-,-,-
28,91367,7896004703398,DIPIRONA 500MG 240CPR EMS,EMS GENERICOS,644,736,2,-,973,1161,98,-,970,1106,2070,2,-,-,-,-,-,-,-,-,-,-,-,-
29,90107,7896004721125,SIBUTRAMINA*B2 15MG 30CPR EMS,EMS GENERICOS,506,343,439,214,245,182,219,237,575,100,166,671,-,-,-,-,-,-,-,-,-,-,-,-
30,90611,7896004700274,TENOXICAM 20MG 10CPR EMS,EMS GENERICOS,-4,902,1009,419,703,551,559,609,729,695,226,243,-,-,-,-,-,-,-,-,-,-,-,-
31,91120,7896004721323,PARACE+CAFEIN 20CPR EMS,EMS GENERICOS,2,1845,4350,1946,2418,2428,103,854,818,459,564,1230,-,-,-,-,-,-,-,-,-,-,-,-
32,113760,7896004746937,EZETIMIBA 10MG 30CPR EMS,EMS GENERICOS,482,818,956,1,25,-,1473,1170,2560,1712,1152,5050,-,-,-,-,-,-,-,-,-,-,-,-
33,91103,7896004742199,"TIBOLONA 2,5MG 30CPR EMS",EMS GENERICOS,330,587,702,544,742,759,716,662,506,555,754,937,-,-,-,-,-,-,-,-,-,-,-,-
34,89630,7896004718460,CETOCONAZOL CRM 30G EMS,EMS GENERICOS,-,1679,-1,1924,721,-,844,1525,1755,1725,1408,2181,-,-,-,-,-,-,-,-,-,-,-,-
35,89001,7896004723020,ACIDO TRANEXAMICO 250MG 12CPR EMS,EMS GENERICOS,809,1376,1141,726,553,1489,1254,1127,949,2304,1177,1313,-,-,-,-,-,-,-,-,-,-,-,-
36,123420,7896004756424,PARACE+CODEIN*A2 500+30MG 24CPR EMS,EMS GENERICOS,770,1013,1631,413,705,1037,698,740,687,1084,1151,258,-,-,-,-,-,-,-,-,-,-,-,-
37,90859,7896004726533,HIDROQ+TRETIN+FLUOCI CRM 30G EMS,EMS GENERICOS,19,32,24,70,18,17,6,16,23,33,24,34,-,-,-,-,-,-,-,-,-,-,-,-
38,90530,7896004715902,NEOMIC+BACITR PDA 15G EMS,EMS GENERICOS,2181,2299,2923,1312,2024,3795,2160,2491,3426,2224,1857,3553,-,-,-,-,-,-,-,-,-,-,-,-
39,90859,7896004726533,HIDROQ+TRETIN+FLUOCI CRM 30G EMS,EMS GENERICOS,19,32,24,70,18,17,6,16,23,33,24,34,-,-,-,-,-,-,-,-,-,-,-,-
40,89532,7896004703275,CEFADROXILA*AM 500MG 8CAP EMS,EMS GENERICOS,258,577,781,183,122,131,101,114,210,126,73,77,-,-,-,-,-,-,-,-,-,-,-,-
41,118451,7896004703633,LANSOPRAZOL 30MG 28CPR EMS,EMS GENERICOS,-,30,112,15,66,68,8,73,8,29,12,71,-,-,-,-,-,-,-,-,-,-,-,-
42,90263,7896004708669,SIMETI+HOMATR GTS 20ML EMS,EMS GENERICOS,405,488,198,194,99,317,191,218,284,385,209,328,-,-,-,-,-,-,-,-,-,-,-,-
43,90786,7896004748214,QUETIAPINA*C1 25MG 30CPR EMS,EMS GENERICOS,1472,1589,9600,711,2648,3500,4213,5963,5591,8439,3146,15149,-,-,-,-,-,-,-,-,-,-,-,-
44,89656,7896004705125,CETOCO+BETAME CRM 30G EMS,EMS GENERICOS,409,793,12,935,1321,1230,279,3857,68,-6,5,1,-,-,-,-,-,-,-,-,-,-,-,-
45,124877,7896004759678,"AZITROMICINA*AM 1500MG 37,5ML EMS",EMS GENERICOS,-,109,221,79,54,21,38,47,54,62,26,159,-,-,-,-,-,-,-,-,-,-,-,-
46,89125,7896004720746,AMOXIC+CLAVUL*AM 400+57MG/5ML 70ML EMS,EMS GENERICOS,123,257,1609,181,29,35,27,35,61,93,98,46,-,-,-,-,-,-,-,-,-,-,-,-
47,91588,7896004720616,NIMESULIDA 20MG/G GEL 30G EMS,EMS GENERICOS,144,140,637,256,303,299,408,420,282,165,3,714,-,-,-,-,-,-,-,-,-,-,-,-
48,89338,7896004702049,BENZOILMETRONIDAZOL 40MG/ML 120ML EMS,EMS GENERICOS,184,389,310,151,177,289,406,197,262,437,259,461,-,-,-,-,-,-,-,-,-,-,-,-
